workerid,stimulus,sentence,pronoun,speaker,speaker_gender,intonation,verification,speechact_choice,sp_certainty,addr_certainty,sp_authority,sp_politeness,subject_gender,subject_age,subject_ethnicity
A2L4OASNEBRSR5,yemen_you_ros_f_rise3,yemen,you,ros,Female,rise3,You're from Yemen?,Question,25,26,15,78,Male,1,5
A2L4OASNEBRSR5,obama_laura_ed_m_fall,obama,laura,ed,Male,fall,Laura met president Obama,Assertion,100,100,72,71,Male,1,5
A2L4OASNEBRSR5,mom_eleanor_bon_f_rise3,mom,eleanor,bon,Female,rise3,Elanor is Annie's mom?,Question,25,34,38,69,Male,1,5
A2L4OASNEBRSR5,married_ellen_ros_f_rise1,married,ellen,ros,Female,rise1,Allen is Married?,Question,13,12,22,27,Male,1,5
A2L4OASNEBRSR5,rain_it_ed_m_rise2,rain,it,ed,Male,rise2,It's raining?,Question,35,40,38,27,Male,1,5
A2L4OASNEBRSR5,yemen_lenny_bon_f_fall,yemen,lenny,bon,Female,fall,Lenny's from Yemen,Assertion,100,95,62,68,Male,1,5
A1XPUUD0HLD6HB,yemen_you_ros_f_fall,yemen,you,ros,Female,fall,You're from Yemen. ,Question,75,69,32,51,Male,2,1
A1XPUUD0HLD6HB,spaceship_maria_kev_m_fall,spaceship,maria,kev,Male,fall,Berea was in a spaceship to the moon,Assertion,100,100,73,40,Male,2,1
A1XPUUD0HLD6HB,lawn_you_kev_m_rise3,lawn,you,kev,Male,rise3,You need to mow the lawn?,Question,0,0,0,90,Male,2,1
A1XPUUD0HLD6HB,married_ellen_ros_f_rise3,married,ellen,ros,Female,rise3,Alan is married? ,Question,30,29,11,57,Male,2,1
A1XPUUD0HLD6HB,rain_it_ed_m_fall,rain,it,ed,Male,fall,It's raining. ,Assertion,100,100,100,0,Male,2,1
A1XPUUD0HLD6HB,yemen_lenny_bon_f_rise2,yemen,lenny,bon,Female,rise2,Lenny's from Yemen?,Question,0,0,0,100,Male,2,1
A1XPUUD0HLD6HB,obama_laura_ed_m_rise2,obama,laura,ed,Male,rise2,Laura met president Obama?,Question,0,0,100,57,Male,2,1
A1XPUUD0HLD6HB,mom_eleanor_bon_f_rise1,mom,eleanor,bon,Female,rise1,Elenor is Annie's Mom?,Question,0,0,30,79,Male,2,1
A6RHP75VV3265,spaceship_maria_bon_f_rise2,spaceship,maria,bon,Female,rise2,Maria was in a spaceship to the moon,Question,11,61,3,98,Female,1,3
A6RHP75VV3265,yemen_lenny_ros_f_rise3,yemen,lenny,ros,Female,rise3,Lenny is from yeman,Question,26,64,0,77,Female,1,3
A6RHP75VV3265,obama_laura_ros_f_fall,obama,laura,ros,Female,fall,Laura met president Obama.,Assertion,100,22,77,79,Female,1,3
A6RHP75VV3265,yemen_lenny_ros_f_qrise3,yemen,lenny,ros,Female,qrise3,Is lenny from yemen?,Question,0,86,49,84,Female,1,3
A6RHP75VV3265,beer_we_ed_m_rise2,beer,we,ed,Male,rise2,we should go get beer.,Question,40,65,38,65,Female,1,3
A6RHP75VV3265,married_ellen_ed_m_rise1,married,ellen,ed,Male,rise1,Ellen is married,Question,41,82,63,36,Female,1,3
A6RHP75VV3265,armadillo_kev_m_rise1,armadillo,armadillo,kev,Male,rise1,Armadillos are mamls,Question,30,85,63,42,Female,1,3
A6RHP75VV3265,mom_eleanor_kev_m_rise3,mom,eleanor,kev,Male,rise3,Ellenor is Annies mom,Question,11,84,34,60,Female,1,3
AO7FM98CP90CL,mom_eleanor_bon_f_rise2,mom,eleanor,bon,Female,rise2,Eleanor is Annie's mom.,Question,29,57,37,78,Unspecified,N/A,N/A
AO7FM98CP90CL,spaceship_maria_kev_m_rise1,spaceship,maria,kev,Male,rise1,Baria was in a space ship to the moon.,Question,23,41,23,79,Unspecified,N/A,N/A
AO7FM98CP90CL,rain_it_ed_m_rise1,rain,it,ed,Male,rise1,Its raining,Question,39,75,44,63,Unspecified,N/A,N/A
