workerid,global_comments,gender,age,race,region,regionComments,sentence,speaker,sgender,intonation,verification,speechactchoice,spcertainty,adcertainty,authority,politeness,comment1,comment2
A1UAKO9B6AQ8CF,no,gen=1,age=1,eth=3,Texas,no,mom,kev,m,fall,Elenanor is Andys mom,response=1,100,98,95,72,,
A1UAKO9B6AQ8CF,no,gen=1,age=1,eth=3,Texas,no,spaceship,bon,f,qrise,Was Maria in a spaceship to the moon?,response=2,11,2,57,91,,
A1UAKO9B6AQ8CF,no,gen=1,age=1,eth=3,Texas,no,yemen,ros,f,rise2,Lennys from Yemen,response=1,64,68,58,53,,
A1UAKO9B6AQ8CF,no,gen=1,age=1,eth=3,Texas,no,married,aar,m,rise3,Helen is married,response=2,27,36,76,93,,
A3TPW4JUUJDUFI,,gen=2,age=2,eth=2,Massachusetts,,married,bon,f,qrise,Is Married,response=2,10,60,65,70,,
A3TPW4JUUJDUFI,,gen=2,age=2,eth=2,Massachusetts,,obama,aar,m,rise2, Lower it President Obama,response=1,100,20,70,80,,
A3TPW4JUUJDUFI,,gen=2,age=2,eth=2,Massachusetts,,yemen,aar,m,rise3,Wendys from Yemen,response=1,100,25,70,61,,
A3TPW4JUUJDUFI,,gen=2,age=2,eth=2,Massachusetts,,spaceship,kev,m,fall,Maria wasn't space shuttle to the moon,response=1,85,29,75,58,,
A3TPW4JUUJDUFI,,gen=2,age=2,eth=2,Massachusetts,,mom,ros,f,rise1,Ellen or its Ally's mom,response=1,99,45,67,64,,
A1SBH6VKUPSYJZ,,gen=1,age=1,eth=1,ca,,yemen,aar,m,qrise,yemen,response=1,81,83,100,98,,
A1SBH6VKUPSYJZ,,gen=1,age=1,eth=1,ca,,obama,aar,m,rise3,obama,response=1,72,72,75,100,,
A1SBH6VKUPSYJZ,,gen=1,age=1,eth=1,ca,,mom,ros,f,rise2,illinois,response=2,40,39,40,39,,
A1SBH6VKUPSYJZ,,gen=1,age=1,eth=1,ca,,spaceship,kev,m,rise1,moon,response=1,78,75,76,74,,
A1SBH6VKUPSYJZ,,gen=1,age=1,eth=1,ca,,married,bon,f,fall,allan is married,response=1,80,77,76,80,,
A2SMROLJ39OR74,NA,gen=2,age=3,eth=3,New Jersey,NA,mom,kev,m,fall,consult the handbook,response=1,100,89,92,98,NA,NA
A2SMROLJ39OR74,NA,gen=2,age=3,eth=3,New Jersey,NA,married,aar,m,rise3,Ellen is married ,response=1,85,76,75,100,He could be asking if she is married ,NA
A2SMROLJ39OR74,NA,gen=2,age=3,eth=3,New Jersey,NA,obama,ros,f,rise1,Laura met President Obama,response=1,88,88,82,100,NA,NA
A2SMROLJ39OR74,NA,gen=2,age=3,eth=3,New Jersey,NA,yemen,ros,f,rise2,Lenny is from Yemen,response=1,88,88,89,81,NA,NA
A2SMROLJ39OR74,NA,gen=2,age=3,eth=3,New Jersey,NA,spaceship,bon,f,qrise,Was Maria in a spaceship from the moon,response=2,53,53,69,100,NA,NA
A5XQ30GQTHHK6,thank you,gen=1,age=3,eth=3,East coast,thank you,married,bon,f,rise3,Ellen is married?,response=2,6,75,4,46,n/a,n/a
A5XQ30GQTHHK6,thank you,gen=1,age=3,eth=3,East coast,thank you,mom,ros,f,fall,Ellen Orr is Andy's mom.,response=1,91,40,93,47,n/a,She sounded forceful.
A5XQ30GQTHHK6,thank you,gen=1,age=3,eth=3,East coast,thank you,yemen,aar,m,rise2,Lenny's from Yemen,response=1,86,76,40,62,n/a,n/a
A5XQ30GQTHHK6,thank you,gen=1,age=3,eth=3,East coast,thank you,spaceship,kev,m,qrise,Was Marie on a spaceship to the moon?,response=2,3,41,7,87,n/a,n/a
A5XQ30GQTHHK6,thank you,gen=1,age=3,eth=3,East coast,thank you,obama,aar,m,rise1,Laura met Precident Obama?,response=2,15,70,43,38,n/a,n/a
AIR4UQNPIMFCJ,,,,,,,spaceship,kev,m,rise2,Maria was in a spaceship to the moon.,response=1,75,52,58,86,,
AIR4UQNPIMFCJ,,,,,,,yemen,aar,m,fall,Lenny's from Yemen.,response=1,97,42,85,71,,
AIR4UQNPIMFCJ,,,,,,,mom,ros,f,rise3,Elenor is Annie's mom.,response=1,42,49,36,67,,
AIR4UQNPIMFCJ,,,,,,,obama,aar,m,qrise,Did Laura meet President Obama?,response=2,0,69,0,75,,
AIR4UQNPIMFCJ,,,,,,,married,bon,f,rise1,Ellen is married.,response=1,58,43,60,53,,
A3I6BEO6FRYW9U,,gen=1,age=1,eth=2,New England,,married,bon,f,rise2,Ellen is married.,response=1,70,11,65,57,,
A3I6BEO6FRYW9U,,gen=1,age=1,eth=2,New England,,yemen,aar,m,rise1,Lenny's from Yemen.,response=2,27,29,27,65,,
A3I6BEO6FRYW9U,,gen=1,age=1,eth=2,New England,,spaceship,kev,m,rise3,Brio was in a spaceship to the moon?,response=2,22,21,23,69,,
